Rank,Market,2018 reach,2019 reach,% change
1,Brazil,"115,225,500","100,483,500",-13%
2,China,"67,959,000","62,939,000",-7%
3,Germany,"27,467,721","39,991,900",46%
4,USA,"34,217,000","28,758,000",-16%
5,Italy,"30,910,566","27,780,583",-10%
6,United Kingdom,"27,726,371","25,919,659",-7%
7,Pan Middle East,"5,209,146","17,691,210",240%
8,France,"14,950,000","15,144,000",1%
9,Pan Russia,"13,127,788","13,287,690",1%
10,Russia,"13,769,000","11,968,800",-13%
11,Pan Latin America,"10,695,249","11,728,014",10%
12,Poland,"1,262,620","8,455,600",570%
13,Netherlands,"5,441,000","7,132,000",31%
14,Pan Africa,"8,078,317","6,881,967",-15%
15,Mexico,"5,768,680","5,711,350",-1%
16,Greece,"4,559,953","5,380,893",18%
17,Australia,"5,054,065","4,521,316",-11%
18,Belgium,"4,323,086","4,195,792",-3%
19,Austria,"4,933,200","3,824,000",-22%
20,Finland,"3,776,700","3,771,300",0%
,,,,
,,,,
,,,,
,,,,
,,,,
